source_group,source_video,frame_number,timestamp_sec,fps_original,fps_extracted,width,height,image_path
Non Header,h52.mp4,0,0.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000000_t0.000.jpg
Non Header,h52.mp4,30,0.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000030_t0.500.jpg
Non Header,h52.mp4,60,1.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000060_t1.000.jpg
Non Header,h52.mp4,90,1.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000090_t1.500.jpg
Non Header,h52.mp4,120,2.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000120_t2.000.jpg
Non Header,h52.mp4,150,2.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000150_t2.500.jpg
Non Header,h52.mp4,180,3.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000180_t3.000.jpg
Non Header,h52.mp4,210,3.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000210_t3.500.jpg
Non Header,h52.mp4,240,4.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000240_t4.000.jpg
Non Header,h52.mp4,270,4.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000270_t4.500.jpg
Non Header,h52.mp4,300,5.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000300_t5.000.jpg
Non Header,h52.mp4,330,5.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000330_t5.500.jpg
Non Header,h52.mp4,360,6.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000360_t6.000.jpg
Non Header,h52.mp4,390,6.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000390_t6.500.jpg
Non Header,h52.mp4,420,7.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000420_t7.000.jpg
Non Header,h52.mp4,450,7.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000450_t7.500.jpg
Non Header,h52.mp4,480,8.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h52/NonHeader_h52_f000480_t8.000.jpg
Non Header,h46.mp4,0,0.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h46/NonHeader_h46_f000000_t0.000.jpg
Non Header,h46.mp4,30,0.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h46/NonHeader_h46_f000030_t0.500.jpg
Non Header,h46.mp4,60,1.0,60.0,2.0,1920,1080,extracted_frames/Non_Header/h46/NonHeader_h46_f000060_t1.000.jpg
Non Header,h46.mp4,90,1.5,60.0,2.0,1920,1080,extracted_frames/Non_Header/h46/NonHeader_h46_f000090_t1.500.jpg
