epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,891.949,0.73419,0.63898,0.88677,0.78072,0.73497,0.78696,0.5272,0.8456,0.60163,0.92112,0.000474928,0.000474928,0.000474928
2,1780.56,0.75933,0.52575,0.89576,0.80438,0.70683,0.77773,0.5542,0.69978,0.52557,0.90856,0.000941844,0.000941844,0.000941844
3,2667.33,0.75839,0.51124,0.89467,0.78231,0.69599,0.76676,0.53587,0.72059,0.50229,0.91016,0.00139933,0.00139933,0.00139933
4,3553.29,0.7363,0.48953,0.88868,0.81781,0.70798,0.77865,0.54619,0.72016,0.50325,0.91456,0.00138656,0.00138656,0.00138656
5,4438.85,0.7074,0.46755,0.87968,0.81197,0.7177,0.80203,0.56388,0.66737,0.47347,0.90018,0.00137241,0.00137241,0.00137241
6,5321.96,0.6958,0.4579,0.87686,0.83732,0.73015,0.80912,0.5867,0.65504,0.46139,0.90337,0.00135826,0.00135826,0.00135826
7,6208.36,0.67427,0.43823,0.86924,0.863,0.71481,0.81061,0.59071,0.65034,0.47253,0.89949,0.00134412,0.00134412,0.00134412
8,7090.58,0.66574,0.43499,0.86877,0.84503,0.68326,0.78238,0.57114,0.66526,0.48809,0.90495,0.00132997,0.00132997,0.00132997
9,7976.58,0.65627,0.4276,0.86552,0.80387,0.74065,0.80373,0.58315,0.63403,0.454,0.89177,0.00131582,0.00131582,0.00131582
10,8859.63,0.64332,0.41639,0.86113,0.83468,0.743,0.81911,0.60646,0.61224,0.4446,0.88353,0.00130168,0.00130168,0.00130168
11,9742.93,0.63419,0.41017,0.85744,0.80307,0.75546,0.82087,0.6139,0.5874,0.42912,0.88053,0.00128753,0.00128753,0.00128753
12,10630.9,0.61865,0.39553,0.85266,0.8331,0.74278,0.81055,0.60383,0.60526,0.43089,0.88391,0.00127338,0.00127338,0.00127338
13,11514.3,0.62061,0.39627,0.85384,0.86457,0.74396,0.81931,0.60485,0.59268,0.4165,0.88033,0.00125923,0.00125923,0.00125923
14,12397.1,0.61038,0.38999,0.85119,0.83423,0.76215,0.82694,0.61525,0.60157,0.42753,0.88028,0.00124509,0.00124509,0.00124509
15,13284.3,0.60632,0.38831,0.84909,0.86143,0.73131,0.81714,0.6157,0.59555,0.42149,0.87996,0.00123094,0.00123094,0.00123094
16,14171.7,0.60001,0.3818,0.84534,0.82298,0.73501,0.80433,0.61201,0.58391,0.45362,0.88231,0.00121679,0.00121679,0.00121679
17,15058.6,0.59383,0.37609,0.84427,0.84482,0.76528,0.8345,0.63458,0.57497,0.39872,0.87126,0.00120265,0.00120265,0.00120265
18,15943.6,0.58873,0.37232,0.84257,0.83972,0.75775,0.82625,0.6306,0.55635,0.41038,0.87414,0.0011885,0.0011885,0.0011885
19,16829.2,0.58016,0.36803,0.84138,0.83438,0.75756,0.82985,0.62636,0.56526,0.39926,0.87479,0.00117435,0.00117435,0.00117435
20,17713.7,0.58288,0.36863,0.84114,0.83325,0.73472,0.80441,0.60788,0.55765,0.41261,0.87585,0.00116021,0.00116021,0.00116021
21,18601.2,0.57475,0.36019,0.83979,0.83155,0.75507,0.82209,0.62467,0.56166,0.40818,0.87255,0.00114606,0.00114606,0.00114606
22,19483.6,0.56649,0.35651,0.83604,0.83733,0.75442,0.81771,0.62495,0.55636,0.42269,0.87195,0.00113191,0.00113191,0.00113191
23,20369.4,0.5679,0.35847,0.83667,0.83829,0.7706,0.83131,0.6403,0.55365,0.41166,0.87355,0.00111776,0.00111776,0.00111776
24,21250.7,0.56429,0.35406,0.83517,0.84114,0.7611,0.82282,0.62903,0.54983,0.39504,0.87685,0.00110362,0.00110362,0.00110362
25,22134,0.56214,0.35149,0.8337,0.81051,0.76726,0.83826,0.63824,0.54827,0.38836,0.87148,0.00108947,0.00108947,0.00108947
26,23018.8,0.55989,0.35203,0.83401,0.82386,0.75306,0.82182,0.62894,0.54474,0.3969,0.8721,0.00107532,0.00107532,0.00107532
