epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,399.446,0.84624,0.72932,0.90261,0.77141,0.71055,0.77588,0.53764,0.76335,0.58648,0.9014,0.000474928,0.000474928,0.000474928
2,793.514,0.81814,0.56231,0.88968,0.7721,0.72783,0.78465,0.5212,0.7926,0.56202,0.91682,0.000941844,0.000941844,0.000941844
3,1187.08,0.79487,0.54116,0.88708,0.81045,0.74878,0.8104,0.54638,0.83646,0.5485,0.90557,0.00139933,0.00139933,0.00139933
4,1587.86,0.77446,0.51784,0.87936,0.8144,0.73982,0.80859,0.56662,0.73385,0.52301,0.89654,0.00138656,0.00138656,0.00138656
5,1990.64,0.74602,0.501,0.87337,0.77237,0.71757,0.78317,0.53384,0.72432,0.51775,0.89331,0.00137241,0.00137241,0.00137241
6,2391.81,0.73027,0.48609,0.86966,0.8037,0.76243,0.81245,0.57698,0.68461,0.48199,0.89157,0.00135826,0.00135826,0.00135826
7,2793.5,0.72401,0.47693,0.86775,0.82519,0.72623,0.8065,0.55917,0.72097,0.48609,0.89228,0.00134412,0.00134412,0.00134412
8,3199.18,0.70104,0.46074,0.86158,0.8112,0.7436,0.7998,0.57408,0.66483,0.48402,0.886,0.00132997,0.00132997,0.00132997
9,3605.94,0.6931,0.45634,0.86091,0.79879,0.732,0.79235,0.57585,0.65757,0.47021,0.88334,0.00131582,0.00131582,0.00131582
10,4014.62,0.68772,0.44959,0.85865,0.83856,0.73041,0.80307,0.57947,0.69064,0.48593,0.88576,0.00130168,0.00130168,0.00130168
11,4421.9,0.67074,0.43283,0.85217,0.83433,0.75911,0.84185,0.60911,0.6397,0.44531,0.87702,0.00128753,0.00128753,0.00128753
12,4827.02,0.66181,0.42952,0.85187,0.85804,0.74969,0.82873,0.60046,0.64512,0.44002,0.87732,0.00127338,0.00127338,0.00127338
13,5230.93,0.65474,0.42468,0.84811,0.82765,0.73858,0.79324,0.57291,0.663,0.48098,0.88416,0.00125923,0.00125923,0.00125923
14,5633.97,0.65397,0.42302,0.849,0.82392,0.76709,0.82677,0.59922,0.64366,0.45406,0.87483,0.00124509,0.00124509,0.00124509
15,6037.08,0.64657,0.41425,0.84594,0.83864,0.74418,0.81031,0.60283,0.62206,0.44162,0.87187,0.00123094,0.00123094,0.00123094
16,6439.62,0.63845,0.41041,0.84478,0.8419,0.72656,0.80701,0.59555,0.63058,0.4446,0.87504,0.00121679,0.00121679,0.00121679
17,6843.55,0.63981,0.40894,0.84325,0.84495,0.7553,0.81918,0.60539,0.62772,0.44445,0.87649,0.00120265,0.00120265,0.00120265
18,7251.38,0.63092,0.40394,0.84341,0.82995,0.73404,0.80758,0.5957,0.60911,0.43542,0.87104,0.0011885,0.0011885,0.0011885
19,7666.2,0.62235,0.40113,0.83892,0.83467,0.76358,0.83231,0.61624,0.62177,0.42469,0.87395,0.00117435,0.00117435,0.00117435
20,8070.9,0.62361,0.39897,0.84114,0.82928,0.73825,0.81202,0.59394,0.6166,0.43784,0.87695,0.00116021,0.00116021,0.00116021
21,8480.33,0.61292,0.38904,0.8373,0.86095,0.75174,0.84042,0.62143,0.60525,0.42148,0.87003,0.00114606,0.00114606,0.00114606
22,8889.01,0.61271,0.3892,0.83717,0.8312,0.75624,0.83493,0.62148,0.61743,0.41762,0.86999,0.00113191,0.00113191,0.00113191
23,9298.83,0.6073,0.38255,0.8359,0.83642,0.7549,0.83328,0.61769,0.58808,0.41173,0.87197,0.00111776,0.00111776,0.00111776
24,9707.5,0.60902,0.38707,0.83644,0.8436,0.76996,0.83552,0.62676,0.59283,0.40954,0.86413,0.00110362,0.00110362,0.00110362
25,10115.8,0.60105,0.37939,0.83376,0.84867,0.754,0.82702,0.62136,0.59023,0.40989,0.87077,0.00108947,0.00108947,0.00108947
26,10521.3,0.59485,0.37547,0.83224,0.83548,0.75402,0.83359,0.62215,0.57296,0.3967,0.86585,0.00107532,0.00107532,0.00107532
27,10920,0.59216,0.37115,0.83214,0.852,0.76092,0.83424,0.63273,0.57636,0.40407,0.86728,0.00106118,0.00106118,0.00106118
28,11319.5,0.59145,0.37285,0.83197,0.83804,0.76519,0.83878,0.63433,0.57128,0.40239,0.86538,0.00104703,0.00104703,0.00104703
29,11719.2,0.58686,0.37026,0.82947,0.88301,0.74132,0.8328,0.62927,0.5772,0.41554,0.86575,0.00103288,0.00103288,0.00103288
30,12118.5,0.58256,0.36542,0.82814,0.8562,0.75086,0.82141,0.62089,0.57406,0.4135,0.86407,0.00101873,0.00101873,0.00101873
31,12517.8,0.58132,0.36352,0.82922,0.87246,0.74728,0.83053,0.62984,0.57266,0.4055,0.86509,0.00100459,0.00100459,0.00100459
32,12917.1,0.57636,0.35857,0.82568,0.85027,0.76565,0.84619,0.62849,0.57515,0.40023,0.86477,0.00099044,0.00099044,0.00099044
33,13316.5,0.57771,0.36292,0.82884,0.86207,0.76621,0.84344,0.63887,0.57748,0.40139,0.86793,0.000976293,0.000976293,0.000976293
34,13714,0.57216,0.35878,0.82701,0.85556,0.74344,0.82665,0.62716,0.58003,0.41201,0.86967,0.000962146,0.000962146,0.000962146
35,14112.3,0.57074,0.35584,0.82647,0.84116,0.77475,0.83302,0.626,0.5811,0.41254,0.87148,0.000947999,0.000947999,0.000947999
36,14511.5,0.56568,0.35081,0.8243,0.8421,0.7676,0.82364,0.624,0.5817,0.39879,0.86802,0.000933851,0.000933851,0.000933851
37,14911,0.56503,0.35016,0.82404,0.85029,0.75213,0.83037,0.62826,0.56642,0.40198,0.86824,0.000919704,0.000919704,0.000919704
38,15308.9,0.5656,0.35052,0.82358,0.83688,0.77255,0.82608,0.6272,0.55825,0.39395,0.86264,0.000905557,0.000905557,0.000905557
39,15707.4,0.55812,0.34706,0.82277,0.85609,0.74473,0.83051,0.62977,0.56842,0.40206,0.86742,0.00089141,0.00089141,0.00089141
40,16105.5,0.55647,0.34438,0.82242,0.85517,0.76511,0.83944,0.63944,0.55605,0.38333,0.86427,0.000877263,0.000877263,0.000877263
41,16503.1,0.5545,0.34366,0.82246,0.83496,0.77149,0.83465,0.63915,0.5577,0.3915,0.862,0.000863116,0.000863116,0.000863116
42,16901.1,0.5552,0.34314,0.82237,0.83261,0.76656,0.82368,0.63117,0.5597,0.39698,0.86646,0.000848969,0.000848969,0.000848969
43,17300,0.54744,0.33797,0.81983,0.86305,0.77441,0.84411,0.63674,0.56978,0.38417,0.87018,0.000834822,0.000834822,0.000834822
44,17699.3,0.55055,0.33865,0.81943,0.85567,0.77878,0.84238,0.64295,0.54589,0.37932,0.86221,0.000820675,0.000820675,0.000820675
45,18097.3,0.54425,0.33427,0.81967,0.83687,0.77668,0.838,0.63346,0.55464,0.39084,0.86486,0.000806528,0.000806528,0.000806528
46,18496.7,0.54527,0.33428,0.81897,0.84998,0.78642,0.843,0.64427,0.54989,0.3829,0.86399,0.00079238,0.00079238,0.00079238
47,18895.6,0.53949,0.32939,0.81783,0.86473,0.75659,0.82568,0.63271,0.55442,0.38563,0.86779,0.000778233,0.000778233,0.000778233
48,19294.7,0.5432,0.33186,0.81789,0.85097,0.76644,0.83506,0.63948,0.54687,0.37931,0.86272,0.000764086,0.000764086,0.000764086
49,19691.9,0.53195,0.32613,0.81582,0.84513,0.77837,0.84137,0.64453,0.55407,0.37727,0.87174,0.000749939,0.000749939,0.000749939
50,20091.5,0.53697,0.32904,0.81675,0.85944,0.77722,0.8485,0.64618,0.54675,0.37422,0.86521,0.000735792,0.000735792,0.000735792
51,20490,0.53283,0.32375,0.81511,0.83356,0.79661,0.84399,0.65039,0.53947,0.3798,0.8624,0.000721645,0.000721645,0.000721645
52,20889.4,0.53054,0.32277,0.81609,0.85289,0.78909,0.84524,0.64666,0.5462,0.37939,0.86477,0.000707498,0.000707498,0.000707498
53,21288.2,0.5277,0.32239,0.81584,0.85534,0.78164,0.83881,0.64813,0.54069,0.38345,0.86427,0.000693351,0.000693351,0.000693351
54,21687.4,0.52576,0.32097,0.81297,0.87086,0.77622,0.85185,0.65045,0.54215,0.37734,0.86437,0.000679204,0.000679204,0.000679204
55,22086.4,0.52419,0.31817,0.8134,0.86587,0.77146,0.83517,0.64812,0.53863,0.38217,0.86338,0.000665057,0.000665057,0.000665057
56,22485.2,0.52527,0.31794,0.81375,0.85824,0.78188,0.8377,0.64709,0.54565,0.37581,0.86415,0.000650909,0.000650909,0.000650909
57,22883.6,0.51962,0.31336,0.81221,0.8583,0.77494,0.84279,0.65337,0.53289,0.37297,0.85928,0.000636762,0.000636762,0.000636762
