image,ball_found,confidence,x1,y1,x2,y2,review_recommended,skipped_non_gameplay
Header/h1/Header_h1_f000000_t0.000.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000006_t0.100.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000012_t0.200.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000018_t0.300.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000024_t0.400.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000030_t0.500.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000036_t0.600.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000042_t0.700.jpg,True,0.4166,926.3,16.9,966.4,55.7,False,False
Header/h1/Header_h1_f000048_t0.800.jpg,True,0.2948,932.1,33.8,971.6,72.2,False,False
Header/h1/Header_h1_f000054_t0.900.jpg,False,0.2392,941.2,51.7,979.0,90.4,True,False
Header/h1/Header_h1_f000060_t1.000.jpg,True,0.5435,951.3,66.7,991.0,107.5,False,False
Header/h1/Header_h1_f000066_t1.100.jpg,False,0.2285,963.2,81.8,1003.8,123.4,True,False
Header/h1/Header_h1_f000072_t1.200.jpg,True,0.3009,976.0,92.5,1019.0,130.7,False,False
Header/h1/Header_h1_f000078_t1.300.jpg,True,0.4294,990.0,99.5,1031.6,142.1,False,False
Header/h1/Header_h1_f000084_t1.400.jpg,True,0.2558,1002.3,105.4,1046.3,146.3,False,False
Header/h1/Header_h1_f000090_t1.500.jpg,False,0.2068,1013.4,110.2,1058.2,153.5,True,False
Header/h1/Header_h1_f000096_t1.600.jpg,True,0.364,1023.3,116.0,1069.0,159.7,False,False
Header/h1/Header_h1_f000102_t1.700.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000108_t1.800.jpg,True,0.4914,1036.8,134.7,1082.6,179.9,False,False
Header/h1/Header_h1_f000114_t1.900.jpg,True,0.3233,1039.1,148.2,1084.8,192.8,False,False
Header/h1/Header_h1_f000120_t2.000.jpg,True,0.3865,1040.1,162.7,1085.4,206.9,False,False
Header/h1/Header_h1_f000126_t2.100.jpg,False,0.1326,1039.1,180.8,1085.1,227.6,True,False
Header/h1/Header_h1_f000132_t2.200.jpg,False,0.1724,1036.6,202.3,1082.5,248.4,True,False
Header/h1/Header_h1_f000138_t2.300.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000144_t2.400.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000150_t2.500.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000156_t2.600.jpg,True,0.7501,1025.1,319.2,1077.8,374.1,False,False
Header/h1/Header_h1_f000162_t2.700.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000168_t2.800.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000174_t2.900.jpg,False,0.0,,,,,False,False
Header/h1/Header_h1_f000180_t3.000.jpg,False,0.0,,,,,False,False
