video_id,is_header_clip,n_confirmed_events,detected_any
Header_h1,True,2,True
Header_h10,True,0,False
Header_h100,True,0,False
Header_h101,True,1,True
Header_h102,True,0,False
Header_h103,True,0,False
Header_h104,True,0,False
Header_h105,True,0,False
Header_h106,True,1,True
Header_h11,True,0,False
Header_h12,True,0,False
Header_h13,True,0,False
Header_h14,True,0,False
Header_h15,True,0,False
Header_h16,True,0,False
Header_h17,True,0,False
Header_h18,True,0,False
Header_h19,True,0,False
Header_h2,True,0,False
Header_h20,True,0,False
Header_h21,True,0,False
Header_h22,True,0,False
Header_h23,True,0,False
Header_h24,True,0,False
Header_h25,True,0,False
Header_h26,True,1,True
Header_h27,True,0,False
Header_h28,True,1,True
Header_h29,True,0,False
Header_h3,True,0,False
Header_h30,True,0,False
Header_h31,True,2,True
Header_h32,True,0,False
Header_h33,True,0,False
Header_h34,True,0,False
Header_h35,True,3,True
Header_h36,True,0,False
Header_h37,True,3,True
Header_h38,True,0,False
Header_h39,True,0,False
Header_h4,True,0,False
Header_h40,True,0,False
Header_h41,True,0,False
Header_h42,True,2,True
Header_h43,True,0,False
Header_h44,True,0,False
Header_h45,True,1,True
Header_h46,True,0,False
Header_h47,True,3,True
Header_h48,True,0,False
Header_h49,True,4,True
Header_h5,True,0,False
Header_h50,True,0,False
Header_h51,True,0,False
Header_h52,True,0,False
Header_h53,True,0,False
Header_h54,True,0,False
Header_h55,True,0,False
Header_h56,True,0,False
Header_h57,True,0,False
Header_h58,True,0,False
Header_h59,True,0,False
Header_h6,True,0,False
Header_h60,True,2,True
Header_h61,True,0,False
Header_h62,True,0,False
Header_h63,True,0,False
Header_h64,True,0,False
Header_h65,True,0,False
Header_h66,True,0,False
Header_h67,True,2,True
Header_h68,True,0,False
Header_h69,True,0,False
Header_h7,True,0,False
Header_h70,True,0,False
Header_h71,True,0,False
Header_h72,True,3,True
Header_h73,True,3,True
Header_h74,True,4,True
Header_h75,True,0,False
Header_h76,True,3,True
Header_h77,True,1,True
Header_h78,True,0,False
Header_h79,True,0,False
Header_h8,True,0,False
Header_h80,True,1,True
Header_h81,True,3,True
Header_h82,True,0,False
Header_h83,True,1,True
Header_h84,True,1,True
Header_h85,True,0,False
Header_h86,True,1,True
Header_h87,True,0,False
Header_h88,True,4,True
Header_h89,True,0,False
Header_h9,True,0,False
Header_h90,True,0,False
Header_h91,True,1,True
Header_h92,True,0,False
Header_h93,True,0,False
Header_h94,True,4,True
Header_h95,True,0,False
Header_h96,True,0,False
Header_h97,True,2,True
Header_h98,True,0,False
Header_h99,True,5,True
Non_Header_h1,False,0,False
