video_id,n_tracks,avg_track_lifespan_frames,median_track_lifespan_frames,candidate_id_switches
Header_h1,43,87.1,77.0,2
Header_h10,27,130.1,85.0,1
Header_h100,79,57.8,47.0,6
Header_h101,62,43.7,32.0,3
Header_h102,38,81.6,42.0,2
Header_h103,44,93.8,78.5,3
Header_h104,37,148.3,64.0,0
Header_h105,34,104.0,77.5,2
Header_h106,52,45.4,30.5,3
Header_h11,47,83.9,55.0,1
Header_h12,46,95.6,48.5,14
Header_h13,40,89.5,21.0,13
Header_h14,43,120.7,93.0,12
Header_h15,58,44.3,23.0,16
Header_h16,22,133.1,127.5,4
Header_h17,65,47.8,15.0,15
Header_h18,45,69.9,49.0,8
Header_h19,22,171.0,157.5,3
Header_h2,40,52.1,2.0,34
Header_h20,40,76.6,17.0,3
Header_h21,33,104.3,37.0,12
Header_h22,96,31.6,6.0,23
Header_h23,52,54.4,2.0,17
Header_h24,46,68.6,23.0,7
Header_h25,39,82.3,44.0,8
Header_h26,98,34.3,7.0,24
Header_h27,29,125.5,115.0,4
Header_h28,57,48.4,8.0,8
Header_h29,23,151.5,117.0,1
Header_h3,28,197.5,182.5,2
Header_h30,24,103.4,59.0,1
Header_h31,71,51.4,19.0,15
Header_h32,61,52.6,25.0,6
Header_h33,56,118.1,85.0,11
Header_h34,41,102.3,70.0,4
Header_h35,56,25.4,4.0,10
Header_h36,79,73.0,4.0,30
Header_h37,89,45.3,11.0,5
Header_h38,56,62.9,4.0,17
Header_h39,44,88.2,60.0,12
Header_h4,35,87.4,41.0,4
Header_h40,84,32.6,10.5,17
Header_h41,42,95.5,72.0,5
Header_h42,59,60.2,15.0,8
Header_h43,99,33.1,8.0,33
Header_h44,52,87.0,38.5,13
Header_h45,71,75.3,30.0,13
Header_h46,53,83.2,40.0,4
Header_h47,49,52.1,23.0,3
Header_h48,53,108.5,54.0,11
Header_h49,94,35.5,7.5,7
Header_h5,37,113.9,57.0,7
Header_h50,44,106.2,77.5,11
Header_h51,144,33.9,2.0,61
Header_h52,77,66.6,33.0,10
Header_h53,52,76.6,50.5,8
Header_h54,55,73.5,25.0,11
Header_h55,64,90.4,49.5,15
Header_h56,29,104.7,93.0,2
Header_h57,65,72.8,49.0,10
Header_h58,47,130.8,116.0,6
Header_h59,47,130.9,117.0,6
Header_h6,23,129.4,167.0,5
Header_h60,77,77.9,13.0,9
Header_h61,49,86.3,40.0,6
Header_h62,55,143.3,80.0,10
Header_h63,35,121.4,85.0,8
Header_h64,20,205.9,252.5,1
Header_h65,29,118.3,109.0,2
Header_h66,29,236.4,285.0,2
Header_h67,37,29.9,17.0,3
Header_h68,24,214.3,232.5,1
Header_h69,41,123.0,84.0,3
Header_h7,42,118.2,78.5,6
Header_h70,50,102.6,72.0,4
Header_h71,37,163.8,134.0,2
Header_h72,47,43.8,32.0,3
Header_h73,34,42.4,19.5,1
Header_h74,34,51.1,23.0,4
Header_h75,25,128.8,72.0,1
Header_h76,34,36.6,16.0,1
Header_h77,30,33.3,17.5,3
Header_h78,40,123.5,75.0,8
Header_h79,40,126.6,69.5,4
Header_h8,51,57.4,31.0,31
Header_h80,37,59.8,32.0,4
Header_h81,52,48.3,22.0,2
Header_h82,45,94.5,52.0,2
Header_h83,34,65.5,17.5,0
Header_h84,34,95.2,33.5,1
Header_h85,32,103.4,38.0,1
Header_h86,35,35.3,3.0,2
Header_h87,39,119.8,85.0,7
Header_h88,38,40.9,16.0,0
Header_h89,27,144.4,116.0,3
Header_h9,54,59.1,35.0,18
Header_h90,13,270.6,361.0,1
Header_h91,26,41.8,31.0,4
Header_h92,45,101.0,53.0,7
Header_h93,39,152.9,45.0,0
Header_h94,35,49.5,22.0,2
Header_h95,40,101.0,51.5,1
Header_h96,41,96.5,64.0,1
Header_h97,44,57.5,34.5,1
Header_h98,46,76.9,36.5,0
Header_h99,30,52.3,5.5,6
Non_Header_h1,69,78.1,2.0,59
Non_Header_h10,87,37.6,3.0,49
Non_Header_h100,33,263.6,260.0,3
Non_Header_h101,29,325.2,255.0,1
Non_Header_h102,37,148.1,150.0,3
Non_Header_h11,47,124.1,110.0,9
Non_Header_h12,61,141.0,71.0,17
Non_Header_h13,65,85.8,3.0,31
Non_Header_h14,47,193.4,92.0,24
Non_Header_h15,33,291.4,416.0,4
Non_Header_h16,42,236.7,131.0,4
Non_Header_h17,56,140.2,74.0,12
Non_Header_h18,47,100.4,35.0,6
Non_Header_h19,48,59.8,7.0,4
Non_Header_h2,56,95.4,6.0,22
Non_Header_h20,74,95.2,49.0,17
Non_Header_h21,48,124.0,89.0,11
Non_Header_h22,20,317.8,293.5,1
Non_Header_h23,57,31.1,9.0,0
Non_Header_h24,19,118.1,122.0,1
Non_Header_h25,61,104.7,38.0,19
Non_Header_h26,81,120.2,35.0,13
Non_Header_h27,61,63.5,18.0,3
Non_Header_h28,38,156.2,72.5,2
Non_Header_h29,54,146.1,115.0,8
Non_Header_h3,70,77.1,33.5,14
Non_Header_h30,41,66.1,20.0,3
Non_Header_h31,90,80.5,12.0,10
Non_Header_h32,40,99.2,36.5,6
Non_Header_h33,29,51.6,39.0,2
Non_Header_h34,56,95.0,26.5,11
Non_Header_h35,65,96.7,57.0,7
Non_Header_h36,31,173.4,91.0,0
Non_Header_h37,53,135.9,47.0,6
Non_Header_h38,69,76.0,11.0,7
Non_Header_h39,53,92.4,76.0,13
Non_Header_h4,55,43.2,20.0,4
Non_Header_h40,80,91.0,47.5,22
Non_Header_h41,92,42.2,12.0,4
Non_Header_h42,49,165.9,52.0,9
Non_Header_h43,36,207.8,168.5,8
Non_Header_h44,34,196.4,169.0,6
Non_Header_h45,28,216.7,148.5,5
Non_Header_h46,41,115.1,63.0,7
Non_Header_h47,32,55.9,37.5,3
Non_Header_h48,56,46.2,7.5,2
Non_Header_h49,47,75.3,29.0,1
Non_Header_h5,42,83.4,23.0,5
Non_Header_h50,45,72.2,27.0,6
Non_Header_h51,46,179.1,114.0,4
Non_Header_h52,64,49.5,28.5,4
Non_Header_h53,76,56.4,6.5,8
Non_Header_h54,32,138.3,82.0,11
Non_Header_h55,19,173.6,155.0,0
Non_Header_h56,30,170.1,131.0,2
Non_Header_h57,18,252.2,196.5,2
Non_Header_h58,44,78.5,25.5,3
Non_Header_h59,62,51.2,10.5,7
Non_Header_h6,43,58.9,29.0,1
Non_Header_h60,55,50.1,25.0,5
Non_Header_h61,95,42.5,6.0,14
Non_Header_h62,167,47.3,2.0,79
Non_Header_h63,62,57.5,18.5,4
Non_Header_h64,80,92.9,65.5,15
Non_Header_h65,85,91.4,34.0,69
Non_Header_h66,63,123.8,39.0,26
