video_id,track_id,event_frame,timestamp_sec,timestamp_mmss,half,ball_displacement_px,head_displacement_px,trajectory_change_deg,header_confidence,attribution_confidence,attribution_confidence_label,ambiguous
Header_h1,8,233,3.883,00:04,first,9.196629817492957,2.929249050524704,0.01,0.7717,0.8338,high,False
Header_h1,75,173,2.883,00:03,first,9.47008447691991,3.9539853312828543,0.06,0.7664,0.9067,high,False
Header_h101,583,127,2.117,00:02,first,25.030001997602767,5.412947441089703,,0.8378,0.9501,high,False
Header_h106,1433,179,2.983,00:03,first,0.0,1.6443843832874308,,0.6263,0.9504,high,False
Header_h26,3513,287,4.783,00:05,first,1.4280056022299046,2.418201811263823,0.56,0.5879,1.0,high,False
Header_h28,3738,288,4.8,00:05,first,10.865840970675016,5.438133871099523,91.95,0.9435,0.9263,high,False
Header_h31,4247,19,0.317,00:00,first,0.0,1.6811900546933845,,0.6067,0.9537,high,False
Header_h31,4304,176,2.933,00:03,first,14.123558333507779,3.2633724886994244,0.0,0.5756,0.8145,high,False
Header_h35,5085,47,0.783,00:01,first,10.122153920979386,7.041959954444516,17.67,0.6708,0.9487,high,False
Header_h35,5160,158,2.633,00:03,first,7.314759052764518,6.434757182675939,0.0,0.7939,0.8553,high,False
Header_h35,5160,270,4.5,00:04,first,8.22350290326455,0.5805170109480376,,0.6101,0.9438,high,False
Header_h37,5476,105,1.75,00:02,first,16.94686401668463,5.9894741004532985,0.02,0.7303,0.8211,high,False
Header_h37,5647,440,7.333,00:07,first,3.2113859936170996,2.0591503102007653,0.0,0.5705,0.9177,high,False
Header_h37,5649,352,5.867,00:06,first,13.000000000000107,5.393041813299834,,0.7005,0.911,high,False
Header_h42,6896,272,4.533,00:05,first,0.0,2.5366316248127494,,0.7878,0.8736,high,False
Header_h42,6998,263,4.383,00:04,first,5.17440817871947,0.028284271247436175,,0.641,0.8652,high,False
Header_h45,7687,234,3.9,00:04,first,13.787073656146196,0.041231056256139105,115.44,0.6954,0.857,high,False
