video_id,reason,closest_track_id,min_distance_px,threshold_at_min_px,margin_px
Header_h10,near_miss,218.0,52.21,23.25,28.96
Header_h100,near_miss,214.0,471.37,89.25,382.12
Header_h102,no_ball_detected_or_predicted,,,,
Header_h103,no_ball_detected_or_predicted,,,,
Header_h104,no_overlapping_ball_and_head_frames,,,,
Header_h105,no_ball_detected_or_predicted,,,,
Header_h11,near_miss,1630.0,704.54,127.54,577.0
Header_h12,no_overlapping_ball_and_head_frames,,,,
Header_h13,near_miss,1804.0,498.82,217.74,281.08
Header_h14,no_head_associations,,,,
Header_h15,near_miss,1971.0,952.92,172.26,780.66
Header_h16,near_miss,2085.0,414.85,31.69,383.15
Header_h17,near_miss,2172.0,433.09,182.53,250.56
Header_h18,near_miss,2291.0,510.68,168.32,342.36
Header_h19,no_ball_detected_or_predicted,,,,
Header_h2,near_miss,2403.0,419.76,31.51,388.24
Header_h20,no_overlapping_ball_and_head_frames,,,,
Header_h21,no_head_associations,,,,
Header_h22,near_miss,2936.0,375.78,166.88,208.91
Header_h23,near_miss,2960.0,719.41,82.32,637.09
Header_h24,no_overlapping_ball_and_head_frames,,,,
Header_h25,near_miss,3180.0,62.1,34.17,27.93
Header_h27,no_overlapping_ball_and_head_frames,,,,
Header_h29,near_miss,3895.0,309.47,33.84,275.63
Header_h3,near_miss,4029.0,68.36,21.12,47.24
Header_h30,near_miss,4171.0,229.85,31.06,198.78
Header_h32,no_overlapping_ball_and_head_frames,,,,
Header_h33,near_miss,4770.0,370.49,51.3,319.19
Header_h34,near_miss,4932.0,202.18,44.29,157.89
Header_h36,no_overlapping_ball_and_head_frames,,,,
Header_h38,no_head_associations,,,,
Header_h39,near_miss,5916.0,521.64,104.35,417.29
Header_h4,near_miss,6071.0,553.54,29.22,524.32
Header_h40,near_miss,6058.0,206.76,42.2,164.56
Header_h41,no_ball_detected_or_predicted,,,,
Header_h43,no_ball_detected_or_predicted,,,,
Header_h44,near_miss,7418.0,554.82,429.13,125.69
Header_h46,near_miss,8060.0,71.6,38.22,33.38
Header_h48,no_overlapping_ball_and_head_frames,,,,
Header_h5,no_head_associations,,,,
Header_h50,no_ball_detected_or_predicted,,,,
Header_h51,near_miss,9510.0,120.69,30.78,89.91
Header_h52,near_miss,9764.0,123.3,39.25,84.04
Header_h53,near_miss,10026.0,89.86,42.56,47.31
Header_h54,no_ball_detected_or_predicted,,,,
Header_h55,near_miss,10366.0,138.68,27.93,110.75
Header_h56,no_ball_detected_or_predicted,,,,
Header_h57,near_miss,10661.0,220.37,44.97,175.4
Header_h58,near_miss,10667.0,89.07,44.95,44.11
Header_h59,near_miss,11291.0,89.07,44.95,44.11
Header_h6,no_ball_detected_or_predicted,,,,
Header_h61,near_miss,12145.0,150.99,31.2,119.79
Header_h62,near_miss,12106.0,81.58,32.19,49.39
Header_h63,near_miss,12654.0,294.3,36.59,257.71
Header_h64,near_miss,12901.0,146.55,26.52,120.03
Header_h65,no_ball_detected_or_predicted,,,,
Header_h66,no_head_associations,,,,
Header_h68,near_miss,13438.0,222.23,30.17,192.07
Header_h69,near_miss,13540.0,276.46,32.38,244.07
Header_h7,no_head_associations,,,,
Header_h70,near_miss,13909.0,569.8,49.01,520.8
Header_h71,no_overlapping_ball_and_head_frames,,,,
Header_h75,near_miss,14756.0,540.19,178.37,361.83
Header_h78,near_miss,15303.0,345.82,90.26,255.57
Header_h79,near_miss,15463.0,890.16,46.69,843.47
Header_h8,near_miss,15678.0,1122.35,425.52,696.83
Header_h82,no_overlapping_ball_and_head_frames,,,,
Header_h85,near_miss,16648.0,333.17,39.27,293.9
Header_h87,near_miss,17067.0,226.32,43.47,182.85
Header_h89,no_head_associations,,,,
Header_h9,near_miss,17651.0,552.96,327.18,225.78
Header_h90,no_ball_detected_or_predicted,,,,
Header_h92,near_miss,17813.0,969.48,707.12,262.37
Header_h93,no_overlapping_ball_and_head_frames,,,,
Header_h95,near_miss,18222.0,425.07,163.59,261.48
Header_h96,should_have_qualified_check_local_min_or_temporal_gate,18321.0,146.7,148.42,-1.72
Header_h98,should_have_qualified_check_local_min_or_temporal_gate,18594.0,185.95,203.46,-17.51
