event_id,video_id,frame_number,timestamp_sec,track_id,ball_head_distance_px,head_width_px,adaptive_threshold_px,player_confidence,head_confidence,ball_confidence,attribution_confidence,ambiguous
H0001,Header_h1,173,2.883,75,10.85,64.41,96.61,0.8793,0.3397,,0.9067,False
H0002,Header_h1,233,3.883,8,9.74,68.75,103.12,0.9457,0.7536,,0.8338,False
H0003,Header_h101,127,2.117,583,3.94,35.57,53.36,0.9148,0.3545,,0.9501,False
H0004,Header_h106,179,2.983,1433,26.06,38.98,58.47,0.8858,0.6893,,0.9504,False
H0005,Header_h26,287,4.783,3513,161.76,242.55,363.82,0.6017,0.7713,,1.0,False
H0006,Header_h28,288,4.8,3738,36.08,127.81,191.71,0.9445,0.6556,0.907,0.9263,False
H0007,Header_h31,19,0.317,4247,126.1,118.26,177.39,0.9565,0.8809,,0.9537,False
H0008,Header_h31,176,2.933,4304,15.94,22.08,33.12,0.942,0.4202,,0.8145,False
H0009,Header_h35,47,0.783,5085,139.72,165.89,248.83,0.9268,0.8391,0.3397,0.9487,False
H0010,Header_h35,158,2.633,5160,1.08,35.62,53.43,0.9302,0.5618,,0.8553,False
H0011,Header_h35,270,4.5,5160,53.89,51.36,77.04,0.9273,0.8525,,0.9438,False
H0012,Header_h37,105,1.75,5476,22.86,65.52,98.28,0.8578,0.8556,,0.8211,False
H0013,Header_h37,352,5.867,5649,48.28,80.83,121.24,0.8079,0.7568,,0.911,False
H0014,Header_h37,440,7.333,5647,73.88,95.66,143.49,0.9356,0.6488,,0.9177,False
H0015,Header_h42,263,4.383,6998,46.49,51.94,77.91,0.6973,0.8129,,0.8652,False
H0016,Header_h42,272,4.533,6896,14.49,77.89,116.83,0.9,0.5898,,0.8736,False
H0017,Header_h45,234,3.9,7687,24.12,21.48,32.22,0.8997,0.6638,,0.857,False
H0018,Header_h47,161,2.683,8404,45.24,90.38,135.57,0.9572,0.8643,0.4713,0.8649,False
H0019,Header_h47,260,4.333,8502,34.8,77.94,116.91,0.8612,0.7101,,0.9236,False
H0020,Header_h47,321,5.35,8572,134.53,160.97,241.46,0.7751,0.6735,,0.9577,False
H0021,Header_h49,116,1.933,8896,27.89,103.06,154.59,0.9362,0.8629,,0.9108,False
H0022,Header_h49,218,3.633,8945,9.23,66.53,99.8,0.9479,0.729,,0.9096,False
H0023,Header_h49,264,4.4,9092,88.03,68.32,102.48,0.9502,0.8658,,0.9639,False
H0024,Header_h49,355,5.917,8990,51.56,107.96,161.94,0.9592,0.8537,,0.9602,False
H0025,Header_h60,59,0.983,11766,163.6,392.5,588.75,0.8833,0.6535,,0.9755,False
H0026,Header_h60,67,1.117,11766,131.57,425.08,637.62,0.8449,0.3811,,0.9722,False
H0027,Header_h67,15,0.25,13122,58.99,93.91,140.86,0.9168,0.8778,,0.882,False
H0028,Header_h67,137,2.283,13258,23.12,82.87,124.3,0.9331,0.8091,,0.9333,False
H0029,Header_h72,111,1.85,14279,81.09,96.07,144.1,0.8892,0.7773,0.5873,0.8966,False
