video_id,track_id,total_headers,first_half_headers,second_half_headers,shortest_interval_sec,headers_last_5_min,headers_last_10_min,headers_last_15_min,ambiguous_events,review_priority
Header_h94,18084,3,3,0,0.87,3,3,3,0,moderate
Header_h76,14979,2,2,0,0.15,2,2,2,0,moderate
Header_h35,5160,2,2,0,1.87,2,2,2,0,moderate
Non_Header_h47,27140,2,2,0,0.68,2,2,2,0,moderate
Non_Header_h102,19719,2,2,0,0.23,2,2,2,0,moderate
Header_h99,18721,2,2,0,0.12,2,2,2,0,moderate
Header_h99,18709,2,2,0,0.1,2,2,2,0,moderate
Header_h72,14279,2,2,0,0.1,2,2,2,0,moderate
Header_h60,11766,2,2,0,0.13,2,2,2,0,moderate
Non_Header_h71,34004,2,2,0,0.1,2,2,2,0,moderate
Header_h37,5476,1,1,0,,1,1,1,0,low
Header_h26,3513,1,1,0,,1,1,1,0,low
Header_h84,16479,1,1,0,,1,1,1,0,low
Header_h86,16969,1,1,0,,1,1,1,0,low
Header_h88,17245,1,1,0,,1,1,1,0,low
Header_h88,17263,1,1,0,,1,1,1,0,low
Header_h88,17391,1,1,0,,1,1,1,0,low
Header_h88,17392,1,1,0,,1,1,1,0,low
Header_h91,17727,1,1,0,,1,1,1,0,low
Header_h31,4247,1,1,0,,1,1,1,0,low
Header_h94,18139,1,1,0,,1,1,1,0,low
Header_h97,18474,1,1,0,,1,1,1,0,low
Header_h97,18554,1,1,0,,1,1,1,0,low
Header_h99,18705,1,1,0,,1,1,1,0,low
Header_h28,3738,1,1,0,,1,1,1,0,low
Non_Header_h102,19598,1,1,0,,1,1,1,0,low
Header_h37,5647,1,1,0,,1,1,1,0,low
Header_h106,1433,1,1,0,,1,1,1,0,low
Non_Header_h20,21489,1,1,0,,1,1,1,0,low
Non_Header_h3,23181,1,1,0,,1,1,1,0,low
Non_Header_h37,24949,1,1,0,,1,1,1,0,low
Header_h101,583,1,1,0,,1,1,1,0,low
Non_Header_h5,27805,1,1,0,,1,1,1,0,low
Non_Header_h53,29111,1,1,0,,1,1,1,0,low
Non_Header_h57,30164,1,1,0,,1,1,1,0,low
Non_Header_h59,30500,1,1,0,,1,1,1,0,low
Non_Header_h6,30909,1,1,0,,1,1,1,0,low
Non_Header_h7,33601,1,1,0,,1,1,1,0,low
Non_Header_h70,33871,1,1,0,,1,1,1,0,low
Non_Header_h70,33939,1,1,0,,1,1,1,0,low
Header_h83,16337,1,1,0,,1,1,1,1,low
Header_h81,16049,1,1,0,,1,1,1,0,low
Header_h81,16038,1,1,0,,1,1,1,0,low
Header_h81,15914,1,1,0,,1,1,1,0,low
Header_h37,5649,1,1,0,,1,1,1,0,low
Header_h42,6896,1,1,0,,1,1,1,0,low
Header_h42,6998,1,1,0,,1,1,1,0,low
Header_h45,7687,1,1,0,,1,1,1,0,low
Header_h47,8404,1,1,0,,1,1,1,0,low
Header_h47,8502,1,1,0,,1,1,1,0,low
Header_h47,8572,1,1,0,,1,1,1,0,low
Header_h49,8896,1,1,0,,1,1,1,0,low
Header_h49,8945,1,1,0,,1,1,1,0,low
Header_h49,8990,1,1,0,,1,1,1,0,low
Header_h49,9092,1,1,0,,1,1,1,0,low
Header_h35,5085,1,1,0,,1,1,1,0,low
Header_h67,13122,1,1,0,,1,1,1,0,low
Header_h67,13258,1,1,0,,1,1,1,0,low
Header_h31,4304,1,1,0,,1,1,1,0,low
Header_h72,14305,1,1,0,,1,1,1,0,low
Header_h73,14418,1,1,0,,1,1,1,0,low
Header_h73,14419,1,1,0,,1,1,1,0,low
Header_h73,14486,1,1,0,,1,1,1,0,low
Header_h74,14576,1,1,0,,1,1,1,0,low
Header_h74,14646,1,1,0,,1,1,1,0,low
Header_h74,14661,1,1,0,,1,1,1,0,low
Header_h74,14669,1,1,0,,1,1,1,0,low
Header_h76,14962,1,1,0,,1,1,1,0,low
Header_h1,75,1,1,0,,1,1,1,0,low
Header_h77,15149,1,1,0,,1,1,1,0,low
Header_h80,15838,1,1,0,,1,1,1,0,low
Header_h1,8,1,1,0,,1,1,1,0,low
